START_DAY,END_DAY
29-01-2019,12-04-2019
29-04-2019,05-07-2019
22-07-2019,27-09-2019
14-10-2019,20-12-2019
28-01-2020,09-04-2020
27-04-2020,03-07-2020
20-07-2020,25-09-2020
12-10-2020,18-12-2020
27-01-2021,01-04-2021
19-04-2021,25-06-2021
12-07-2021,17-09-2021
05-10-2021,17-12-2021
28-01-2022,08-04-2022
26-04-2022,01-07-2022
18-07-2022,23-09-2022
10-10-2022,20-12-2022
27-01-2023,06-04-2023
24-04-2023,30-06-2023
17-07-2023,22-09-2023
09-10-2023,19-12-2023
30-01-2024,12-04-2024
29-04-2024,05-07-2024
22-07-2024,27-09-2024
14-10-2024,20-12-2024
31-01-2025,11-04-2025
28-04-2025,04-07-2025
21-07-2025,26-09-2025
13-10-2025,19-12-2025
